city,country,time_of_measurement,temperature,pressure,humidity,wind_speed,weather_naming,timestamp_request
Berlin,Germany,1688461318,19.0,1012.0,56,24.1,Partly cloudy,1688461379
Hamburg,Germany,1688461318,16.0,1009.0,72,24.1,Partly cloudy,1688461380
München,Deutschland,1688461318,18.0,1018.0,83,15.1,Partly cloudy,1688461380
Berlin,Germany,1688461580,19.0,1012.0,56,24.1,Partly cloudy,1688461580
Hamburg,Germany,1688461580,16.0,1009.0,72,24.1,Partly cloudy,1688461580
München,Deutschland,1688461580,18.0,1018.0,83,15.1,Partly cloudy,1688461580
Berlin,Germany,1688461783,19.0,1012.0,56,24.1,Partly cloudy,1688461788
Hamburg,Germany,1688461788,16.0,1009.0,72,24.1,Partly cloudy,1688461788
München,Deutschland,1688461788,18.0,1018.0,83,15.1,Partly cloudy,1688461788
Berlin,Germany,1688461990,19.0,1012.0,56,24.1,Partly cloudy,1688461990
Hamburg,Germany,1688461990,16.0,1009.0,72,24.1,Partly cloudy,1688461990
München,Deutschland,1688461990,18.0,1018.0,83,15.1,Partly cloudy,1688461990
Berlin,Germany,1688462190,20.0,1012.0,53,29.9,Partly cloudy,1688462190
Hamburg,Germany,1688462190,16.0,1009.0,72,24.1,Partly cloudy,1688462190
München,Deutschland,1688462190,18.0,1018.0,83,15.1,Partly cloudy,1688462190
Berlin,Germany,1688462391,20.0,1012.0,53,29.9,Partly cloudy,1688462391
Hamburg,Germany,1688462391,17.0,1009.0,68,24.1,Partly cloudy,1688462391
München,Deutschland,1688462391,18.0,1018.0,77,16.9,Partly cloudy,1688462391
Berlin,Germany,1688462591,20.0,1012.0,53,29.9,Partly cloudy,1688462591
Hamburg,Germany,1688462591,17.0,1009.0,68,24.1,Partly cloudy,1688462591
München,Deutschland,1688462591,18.0,1018.0,77,16.9,Partly cloudy,1688462591
Berlin,Germany,1688462591,20.0,1012.0,53,29.9,Partly cloudy,1688462692
Hamburg,Germany,1688462591,17.0,1009.0,68,24.1,Partly cloudy,1688462692
München,Deutschland,1688462591,18.0,1018.0,77,16.9,Partly cloudy,1688462692
Berlin,Germany,1688462792,20.0,1012.0,53,29.9,Partly cloudy,1688462792
Hamburg,Germany,1688462792,17.0,1009.0,68,24.1,Partly cloudy,1688462792
München,Deutschland,1688462792,18.0,1018.0,77,16.9,Partly cloudy,1688462792
Berlin,Germany,1688462792,20.0,1012.0,53,29.9,Partly cloudy,1688462826
Hamburg,Germany,1688462792,17.0,1009.0,68,24.1,Partly cloudy,1688462826
München,Deutschland,1688462792,18.0,1018.0,77,16.9,Partly cloudy,1688462826
Berlin,Germany,1688463126,21.0,1012.0,46,34.9,Partly cloudy,1688463126
Hamburg,Germany,1688463126,17.0,1009.0,68,24.1,Partly cloudy,1688463126
München,Deutschland,1688463126,19.0,1018.0,73,6.8,Partly cloudy,1688463126
Berlin,Germany,1688463426,21.0,1012.0,46,34.9,Partly cloudy,1688463426
Hamburg,Germany,1688463426,17.0,1009.0,63,24.1,Light rain shower,1688463427
München,Deutschland,1688463427,19.0,1018.0,73,6.8,Partly cloudy,1688463427
Berlin,Germany,1688463727,21.0,1012.0,46,34.9,Partly cloudy,1688463727
Hamburg,Germany,1688463727,17.0,1009.0,63,24.1,Light rain shower,1688463727
München,Deutschland,1688463727,19.0,1018.0,73,6.8,Partly cloudy,1688463727
Berlin,Germany,1688464027,21.0,1012.0,46,34.9,Partly cloudy,1688464027
Hamburg,Germany,1688464027,17.0,1009.0,63,24.1,Light rain shower,1688464027
München,Deutschland,1688464027,19.0,1018.0,73,6.8,Partly cloudy,1688464027
Berlin,Germany,1688464327,21.0,1012.0,46,34.9,Partly cloudy,1688464327
Hamburg,Germany,1688464327,17.0,1009.0,63,24.1,Light rain shower,1688464328
München,Deutschland,1688464328,19.0,1018.0,73,6.8,Partly cloudy,1688464328
Berlin,Germany,1688464628,21.0,1012.0,46,34.9,Partly cloudy,1688464628
Hamburg,Germany,1688464628,17.0,1009.0,63,24.1,Light rain shower,1688464628
München,Deutschland,1688464628,19.0,1018.0,73,6.8,Partly cloudy,1688464628
Berlin,Germany,1688464928,21.0,1012.0,46,34.9,Partly cloudy,1688464928
Hamburg,Germany,1688464928,17.0,1009.0,63,24.1,Light rain shower,1688464928
